sentence_id,title,origin_sentence,paragraph_text,query number,clean_sentence,dataset,label_0,score_0
6178,ME-16-11-9004-33," עדותה של המתלוננת אמינה כפליים, משכנעת ארבעתיים ומסתברת שבעתיים","אנסה אף אני לסבר את האוזן בעזרת מספרים, שאינם מתיימרים לבטא אמת חשבונית אלא את אותה תחושה מיוחדת, של אמון בצד אחד, אך ספק מן הצד השני. עדותה של המתלוננת אמינה כפליים, משכנעת ארבעתיים ומסתברת שבעתיים. אולם, לא אוכל לומר כי דבר הנאשם ""בטל בששים"" ואינו בבחינת ""נותן טעם"" בתערובת השיקולים שלפנינו. משמע, אני מאמין למתלוננת, אך איני יכול לקבוע כי אין בעדות הנאשם די כדי להקים ספק סביר.",1," עדותה של המתלוננת אמינה כפליים, משכנעת ארבעתיים ומסתברת שבעתיים",test,"אמינה: בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה",0.94
7658,ME-08-1045-33," התרשמתי כי עדותה של המתלוננת הייתה עקבית, בוטחת, רהוטה ומהימנה","92. התרשמתי כי עדותה של המתלוננת הייתה עקבית, בוטחת, רהוטה ומהימנה. אמינותה משתקפת מתיאורה את השתלשלות האירועים באופן אסוציאטיבי, כאשר מקרה אחד מזכיר לה אחר ומבלי שהיא מקפידה בכל העת על סדר כרונולוגי. המתלוננת שיבצה במהלך הדברים פרטים אותנטיים שקשה להעלות על הדעת כי בדתה אותם מלבה, כמו השימוש שביקש הנאשם לעשות בשקית הניילון באירוע השני לגביו חלה התיישנות. כנות עדותה נלמדת אף מבין דברים שמסרה מיוזמתה ואשר היו עשויים להעלות לכאורה תהיות לעניין התנהגותה כקורבן עבירות מין. כך למשל, תיארה שני אירועים שונים בהם ביקשה לכאורה ביוזמתה את קרבתו של אחיה בהציעה לו ""להמשיך במשחק"" אך זה דחה אותה מעליו. תיאורים אלה ממחישים כי המתלוננת אינה מבקשת להקצין ולהגזים בתיאור נסיבות ביצוע המעשים, אלא לספר את הדברים כהווייתם ולמיטב זיכרונה.",1," התרשמתי כי עדותה של המתלוננת הייתה עקבית, בוטחת, רהוטה ומהימנה",test,"אמינה: בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה",0.93
9670,SH-10-11-34300-792," לכך מתווסף החשש כי עדותה הראשונית של המתלוננת אינה נקייה מזיהומים שונים זאת ניתן ללמוד מכך שהמתלוננת נמצאה על ידי אחותה בביתו של הנאשם, וככל הנראה עקב צעקותיה של אחותה, למדה המתלוננת מיד כי מה שארע הינו פסול ואסור ובעקבות הצעקות של אחותה על הנאשם בחרה לספר כי הנאשם הוא זה שפגע בה","חוסר יכולתה של המתלוננת לזכור או להבחין בין דברים שקלטה בחושיה בזמן אמת לבין דברים שקלטה בשלב מאוחר יותר וככל הנראה הוסיפה אותם לאותו סל של זיכרונות מעוררת קושי בקבלת עדותה של המתלוננת. לכך מתווסף החשש כי עדותה הראשונית של המתלוננת אינה נקייה מזיהומים שונים זאת ניתן ללמוד מכך שהמתלוננת נמצאה על ידי אחותה בביתו של הנאשם, וככל הנראה עקב צעקותיה של אחותה, למדה המתלוננת מיד כי מה שארע הינו פסול ואסור ובעקבות הצעקות של אחותה על הנאשם בחרה לספר כי הנאשם הוא זה שפגע בה. שנית במהלך עדותה המתלוננת השתמשה במושגים שנראה כאילו ""הושתלו"" בגרסתה ולאו דווקא באופן מכוון, כדוגמת הביטוי ""טיפות נמשכות"" שנתן לה הנאשם. שלישית חלוף הזמן מקרות האירוע יכול לגרום גם לאדם ללא לקות קוגניטיבית לשכוח פרטים לא כל שכן לאדם עם פיגור שכלי קל כשל המתלוננת, על אף האמור מר הרן העיד כי בפגישה האחרונה עם המתלוננת כשבועיים לפני עדותה בבית המשפט, התרשם כי המתלוננת זוכרת הכל ""היא חזרה על אותם הדברים שסיפרה לפני ארבע שנים בסמוך לאירוע"" (ר' עמ' 15 שו' 29-31). דבר זה לא רק שאינו מעורר אמון אלא אף מעורר חשד כיצד המתלוננת זוכרת את האירוע לפרטי פרטים ארבע שנים לאחריו, בעוד שזמן קצר אחרי האירוע מסרה גרסאות שונות לחלוטין ולא זכרה את גרסתה הראשונית לאירוע. ניתן להסביר עניין זה בכך שהמתלוננת חזרה על הסיפור הזה פעמים רבות במהלך השנים עד כי יודעת לספר אותו כאילו אכן קרה לה.",1," לכך מתווסף החשש כי עדותה הראשונית של המתלוננת אינה נקייה מזיהומים שונים זאת ניתן ללמוד מכך שהמתלוננת נמצאה על ידי אחותה בביתו של הנאשם, וככל הנראה עקב צעקותיה של אחותה, למדה המתלוננת מיד כי מה שארע הינו פסול ואסור ובעקבות הצעקות של אחותה על הנאשם בחרה לספר כי הנאשם הוא זה שפגע בה",test,"לא אמינה: לא עקבית, הציגה סתירות",0.61
19235,m06003021," ניתן היה להתרשם כי עדותה של המתלוננת לגבי עיקרי הדברים הייתה עקבית, וגם כאשר נעשו ניסיונות ""לבלבל"" אותה, חזרה בעקשנות ובביטחון על הגרסה","107. חקירתה הנגדית של המתלוננת לא הייתה קלה. היא נמשכה זמן רב ביותר, על פני כ-160 עמודי פרוטוקול. המתלוננת עומתה אין-ספור פעמים עם גרסאות שונות, היא נשאלה על יחסיה עם אחרים, ונאלצה לחשוף בפנינו את רגשותיה ואת מצוקותיה. כל אלו הותירו רושם אמין. ניתן היה להתרשם כי עדותה של המתלוננת לגבי עיקרי הדברים הייתה עקבית, וגם כאשר נעשו ניסיונות ""לבלבל"" אותה, חזרה בעקשנות ובביטחון על הגרסה. כן הדגישה פעמים רבות כי היא מספרת בדיוק מה שקרה.",1," ניתן היה להתרשם כי עדותה של המתלוננת לגבי עיקרי הדברים הייתה עקבית, וגם כאשר נעשו ניסיונות ""לבלבל"" אותה, חזרה בעקשנות ובביטחון על הגרסה",test,"אמינה: בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה",0.85
20705,m00330," גם עדותה של המתלוננת ת', הנוגעת אמנם בעיקרה לאירוע הראשון בו הודה הנאשם בשלב הסיכומים, הנה רלוונטית בסופו של דבר גם למחלוקת שנותרה","אך יודגש, כי עבירות אלו בהן כפר הנאשם דינן להיחרץ לשבט או לחסד על-פי  מעמדן ומשקלן של עדויות המתלוננת ל', הנאשם והעדים הנוספים שהעידו במשפט, לרבות חברתה של ל', מרה, שהיתה הראשונה עמה שוחחה מייד עם תום האירוע השני, המאבטחים חגית, אבי ויהונתן, ומנגד לכך עד ההגנה סאמר. גם עדותה של המתלוננת ת', הנוגעת אמנם בעיקרה לאירוע הראשון בו הודה הנאשם בשלב הסיכומים, הנה רלוונטית בסופו של דבר גם למחלוקת שנותרה.",1," גם עדותה של המתלוננת ת', הנוגעת אמנם בעיקרה לאירוע הראשון בו הודה הנאשם בשלב הסיכומים, הנה רלוונטית בסופו של דבר גם למחלוקת שנותרה",test,אמינה בגלל חיזוק חיצוני,0.67
28593,SH-10-01-40299-583,"כפי שציינתי לעיל, עדותה של המתלוננת היתה עניינית וקוהרנטית ואפילו אניח כי אכן נטלה תרופות עובר למתן עדותה (המתלוננת עצמה הכחישה זאת, ראה ע' 27 לפרוט' בש' 5-8) אזי, לא מצאתי כי היה בכך כדי לפגום באותה עדות או בכושר העדתה של המתלוננת","כפי שציינתי לעיל, עדותה של המתלוננת היתה עניינית וקוהרנטית ואפילו אניח כי אכן נטלה תרופות עובר למתן עדותה (המתלוננת עצמה הכחישה זאת, ראה ע' 27 לפרוט' בש' 5-8) אזי, לא מצאתי כי היה בכך כדי לפגום באותה עדות או בכושר העדתה של המתלוננת.",1,"כפי שציינתי לעיל, עדותה של המתלוננת היתה עניינית וקוהרנטית ואפילו אניח כי אכן נטלה תרופות עובר למתן עדותה  אזי, לא מצאתי כי היה בכך כדי לפגום באותה עדות או בכושר העדתה של המתלוננת",test,"אמינה: בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה",0.88
30217,m001062,"עדותה של המתלוננת בפני חוקרת הנוער אכן מבולבלת מעט וחסרת רצף, אך יחד עם זאת הקפידה המתלוננת לחזור על עיקרי דבריה בכל הזדמנות","עדותה של המתלוננת בפני חוקרת הנוער אכן מבולבלת מעט וחסרת רצף, אך יחד עם זאת הקפידה המתלוננת לחזור על עיקרי דבריה בכל הזדמנות. עדותה של המתלוננת ש.ר. אמינה עלי, כמפורט לעיל, ואני מאמצת דבריה בפני חוקרת הנוער, כמשלימים את עדותה בביהמ""ש.",1,"עדותה של המתלוננת בפני חוקרת הנוער אכן מבולבלת מעט וחסרת רצף, אך יחד עם זאת הקפידה המתלוננת לחזור על עיקרי דבריה בכל הזדמנות",test,"אמינה: בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה",0.71
30218,m001062," אמינה עלי, כמפורט לעיל, ואני מאמצת דבריה בפני חוקרת הנוער, כמשלימים את עדותה בביהמ""ש","עדותה של המתלוננת בפני חוקרת הנוער אכן מבולבלת מעט וחסרת רצף, אך יחד עם זאת הקפידה המתלוננת לחזור על עיקרי דבריה בכל הזדמנות. עדותה של המתלוננת ש.ר. אמינה עלי, כמפורט לעיל, ואני מאמצת דבריה בפני חוקרת הנוער, כמשלימים את עדותה בביהמ""ש.",1," אמינה עלי, כמפורט לעיל, ואני מאמצת דבריה בפני חוקרת הנוער, כמשלימים את עדותה בביהמ""ש",test,"אמינה: בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה",0.78
30693,m001062,"זאת ועוד, כפי שנאמר לעיל עדויותיהן של המתלוננות ע","זאת ועוד, כפי שנאמר לעיל עדויותיהן של המתלוננות ע.ר. וש.ר. מהימנות עלי ואינן מותירות ספק באשר לאמיתות תלונותיהן.",1,"זאת ועוד, כפי שנאמר לעיל עדויותיהן של המתלוננות ע",test,אמינה בגלל חיזוק חיצוני,0.3
34309,m04001134,"כאמור, עדותה של המתלוננת ר","כאמור, עדותה של המתלוננת ר.ג. היתה מהימנה וסדורה. זאת, בניגוד מוחלט לרושם שהותירה עלי עדותו של הנאשם. אינני מתקשה להכריע, אם-כן, על סמך דבריה כלשונם.",1,"כאמור, עדותה של המתלוננת ר",test,"אמינה: בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה",0.78
