sentence_id,title,paragraph_text,origin_sentence,category
631651,s03001079-299,"עם זאת, עדותה של המתלוננת קוהרנטית עם עדויותיהם של ילדיה, שהיו עדים למקרה – כפי שהובאו ע""י ע""ת/5, (כמו גם עם ראיות התביעה האחרות, וראיות ההגנה עצמן – כפי שיפורט להלן) – גם בנוגע לזיהוי הנאשם.","עם זאת, עדותה של המתלוננת קוהרנטית עם עדויותיהם של ילדיה, שהיו עדים למקרה – כפי שהובאו ע""י ע""ת/5, (כמו גם עם ראיות התביעה האחרות, וראיות ההגנה עצמן – כפי שיפורט להלן) – גם בנוגע לזיהוי הנאשם",אמינה בגלל חיזוק חיצוני
1198470,ME-10-02-20190-1,"לגבי הנאשם, הרי שזה שיקר בחקירותיו ונמצא בלתי מהימן בעדותו. לגבי הדברים שמסר בחקירותיו במשטרה, הודה בעצמו כי שיקר ואין ספק כי עדותו הינה ""עדות כבושה"" שלא ניתן עליה הסבר סביר ומהימן. מובן כי בשל התנהגות הנאשם בחקירתו ובעדותו, ""רובץ לפתחו חטאת"" בדמות חשד כבד כי ביצע את העבירה המיוחסת לו. אך בחשד, אפילו כבד, לא די ושקרי הנאשם אינם יכולים להפוך את ה""אין"" ל""יש"" או להשלים את החסר בראיות מהימנות של המאשימה. אכן, לטענת המאשימה, לאור שקריו הרבים של הנאשם ומופרכות טענותיו, אין שום סיבה להעדיף את גירסתו על פני גירסתה של המתלוננת. אולם, אנו עוסקים במשפט פלילי בו לא די ""להעדיף"" את גירסת המתלוננת על פני זו של הנאשם כדי להרשיעו בדין. במשפט פלילי חובה מוטלת על שכם המאשימה לשכנע את ביהמ""ש, מעבר לכל ספק סביר, באשמת הנאשם, כדי להרשיעו בדין.  אמנם שיקר הנאשם בחקירותיו ובלתי אמין מצאתיו בעדותו ""הכבושה"", אך משלא שכנעה המאשימה, כפי חובתה ע""פ דין, כי גירסת המתלוננת אמינה ומהימנה מעבר לכל ספק סביר, לא ניתן להרשיעו.","  אמנם שיקר הנאשם בחקירותיו ובלתי אמין מצאתיו בעדותו ""הכבושה"", אך משלא שכנעה המאשימה, כפי חובתה ע""פ דין, כי גירסת המתלוננת אמינה ומהימנה מעבר לכל ספק סביר, לא ניתן להרשיעו",אמינה בגלל חיזוק חיצוני
231956,ME-13-10-51550-44,"גירסת הנאשם בסיכומיו 49. נטען שזירת המחלוקת אינה רחבה כאשר הנאשם אישר כי קיים יחסי מין מלאים, כולל מין אוראלי הדדי עם המתלוננת. ב""כ הנאשם טען כי גרסת המתלוננת תמוהה, בעייתית וחסרת היגיון כאשר המתלוננת כשלה בסתירות ושקרים והסתירה פרטים רלוונטיים ובעייתיים בגרסתה. נטען שלא ניתן לבסס הרשעה על עדותה היות שמדובר בעדות יחידה במשפט פלילי כאמור  ל. נטען שהחיזוקים והתימוכין לעדות המתלוננת אינם יותר מאשר עדות מפי השמועה ואינם קבילים. נטען עוד שגרסת המתלוננת ""זוהמה"" עוד טרם הגיעה למשטרה כאשר המתלוננת השתכנעה משיחות עם אחרים שנאנסה, למרות שתחילה כלל לא היתה בטוחה בכך ומסיבה זו היא לא פנתה למשטרה מלכתחילה. נטען שהמתלוננת הבינה שהמשטרה מצפה לשמוע ממנה גרסה מסויימת כמתלוננת על אונס, וקלטה את חשיבות טענת ההתנגדות מצידה. הסניגור הפנה בעניין זה לשיחותיה עם שלמה אלבז שקדמו להגעתה למשטרה כאשר הוזכר ששיחות אלו לא תועדו בזכרון דברים."," נטען שהמתלוננת הבינה שהמשטרה מצפה לשמוע ממנה גרסה מסויימת כמתלוננת על אונס, וקלטה את חשיבות טענת ההתנגדות מצידה",אמינה בגלל חיזוק חיצוני
680463,m04001141-a,"בנושא זה אכן העידו המתלוננות הנוספות כי מוטי הוא זה שהביאן והסיען למכון, תוך שהדבר מוכחש על-ידי מוטי. עם זאת, ניתן למצוא תימוכין לגרסתן של המתלוננות הנוספות, דווקא מחקירתו של דב."," עם זאת, ניתן למצוא תימוכין לגרסתן של המתלוננות הנוספות, דווקא מחקירתו של דב",אמינה בגלל חיזוק חיצוני
1212351,s98001190-19,"ו. ועם זאת, יש בעדותה של ה.ל. כדי להוות חיזוק ראוי לעדויותיהן של מתלוננות אחרות. יש בגרסה זו כדי ללמד על נטייתו של הנאשם למעשים מן הסוג שעל הפרק. גם בהנחה שאכן נתנה ה.ל. את הסכמתה למעשי הנאשם, וכאמור זכאי הנאשם על בסיס דבריה להנות לפחות מן הספק שאכן כך, הרי לא ידע הוא שתיתן היא את הסכמתה במהלך המעשה, אלא שלמזלו נתנה היא את הסכמתה, לפחות על פי גרסתה בבית המשפט, והוציאה היא בכך את מעשיו מכלל עבירה. מכאן, שגם אם אין מקום להרשעת הנאשם בכל הקשור במעשיו כלפי ה.ל., בשל כך שיש לפחות ספק של ממש אם לא נתנה היא את הסכמתה למעשים אלה, הרי יש בעדותה המהימנה כדי לשמש במידת הצורך חיזוק לעדויותיהן של המתלוננות האחרות, וכמפורט להלן.",", בשל כך שיש לפחות ספק של ממש אם לא נתנה היא את הסכמתה למעשים אלה, הרי יש בעדותה המהימנה כדי לשמש במידת הצורך חיזוק לעדויותיהן של המתלוננות האחרות, וכמפורט להלן",אמינה בגלל חיזוק חיצוני
561455,ME-14-08-35357-11,"מהימנותה של המתלוננת בהמשך לאמור לעיל, ולתמיכה בגרסת המתלוננת על ידי תיאורו של העד הניטרלי, ראמי, אבהיר כי עדותה של המתלוננת אמינה בעיניי. המתלוננת נחקרה 3 פעמים במשטרה, בנוסף לעימות שעומתה מול הנאשם (ת/11,ת/11א), כל שלוש החקירות תועדו בתעוד חזותי, (ת/1א, ת/2א, ת/3א) תומצתו בצורת הודעה (ת/1,ת/2,ת3) ותומללו תמלול מלא (ת/1ב, ת/2ב, ת/3ב).","מהימנותה של המתלוננת בהמשך לאמור לעיל, ולתמיכה בגרסת המתלוננת על ידי תיאורו של העד הניטרלי, ראמי, אבהיר כי עדותה של המתלוננת אמינה בעיניי",אמינה בגלל חיזוק חיצוני
1567480,ME-07-1023-33,"עדותה, ככל שהיא נוגעת לדרישות הביזאריות, נתמכת בעדותן של מתלוננות אחרות ובהקלטת השיחות בין הנאשם לדמרי ת/80 – ת/84.","עדותה, ככל שהיא נוגעת לדרישות הביזאריות, נתמכת בעדותן של מתלוננות אחרות ובהקלטת השיחות בין הנאשם לדמרי ת/80 – ת/84",אמינה בגלל חיזוק חיצוני
146293,s021336a,"סוף דבר 17. גירסתו של המתלונן היתה אמינה עלי ונמצאו לה ראיות מסייעות ומחזקות. הנאשם לא הצליח להפריך את הגירסה ואף לא להעלות ספק סביר לדעתי, ועל כן הנני מרשיעו , כפי שהואשם, בביצוע מעשה מגונה, עבירה לפי  לחוק העונשין, התשל""ז - 1977.ב", גירסתו של המתלונן היתה אמינה עלי ונמצאו לה ראיות מסייעות ומחזקות,אמינה בגלל חיזוק חיצוני
145628,s993830,"ס י כ ו ם 29. עד כאן מהלך הכרעת הדין. כפי שבואר לעיל, הנדבך המרכזי בהרשעתו של הנאשם היא עדותה האמינה והמשכנעת של המתלוננת, כשאליה מצטרפות ראיות נוספות המחזקות ומעבות אותה. מסקנתי היא, לאחר שבחנתי את כל אלה, כי המאשימה הצליחה להוכיח מעבר לכל ספק סביר כי הנאשם ביצע את העבירה המיוחסת לו בכתב האישום."," כפי שבואר לעיל, הנדבך המרכזי בהרשעתו של הנאשם היא עדותה האמינה והמשכנעת של המתלוננת, כשאליה מצטרפות ראיות נוספות המחזקות ומעבות אותה",אמינה בגלל חיזוק חיצוני
702540,SH-15-10-46643-55,"23. גרסת המאשימה התבססה על ראיות רבות, שנארגו זו בזו ותמכו בגרסתו של המתלונן, שאת עדותו מצאתי מהימנה ביותר. לעומת זאת, הנאשם הותיר רושם בלתי אמין בעדותו, וזאת, כפי שיפורט בהרחבה בהמשך, בלשון המעטה."," גרסת המאשימה התבססה על ראיות רבות, שנארגו זו בזו ותמכו בגרסתו של המתלונן, שאת עדותו מצאתי מהימנה ביותר",אמינה בגלל חיזוק חיצוני
241474,s06003864-209,"15. לעומת גירסתה העיקבית של הילדה, נמצאת גירסתו של הנאשם בלתי עקבית ובלתי מתיישבת עם השכל הישר."," לעומת גירסתה העיקבית של הילדה, נמצאת גירסתו של הנאשם בלתי עקבית ובלתי מתיישבת עם השכל הישר",אמינה בגלל חיזוק חיצוני
19076,ME-12-03-25945-23,"ב. מיד אחרי האירוע הנאשם עזב את המסיבה, ונעצר בביתו מספר שעות לאחר מכן (ת/9, ת/10; עדות הנאשם בביהמ""ש – ע' 38 לפר' מיום 31.10.12, ש' 20-22, ע' 45 לפר', שו' 19-20), ורק לאחר מכן נלקחו ממנו דגימות ולבוש ולא כשהנאשם עדיין במקום האירוע [בחווה""ד נ/8 נאמר לגבי הציפורניים, שלא התקבלה כמות DNA ראוייה להמשך הבדיקות (ע' 3, ס' 6)]. ג. גירסתה המהימנה של המתלוננת והחיזוקים לה, בעינם עומדים, ובהיעדר ממצא כטענות ההגנה, אין כדי להעלות או להוריד; באותה מידה לא נמצא פרופיל DNA של המתלוננת במוצגים שנלקחו מהחדר (למשל כיסוי כרית ומיטה – נ/8, ע' 2-3), והרי אין חולק כי הנאשם והמתלוננת ישבו על הספה והתנשקו."," גירסתה המהימנה של המתלוננת והחיזוקים לה, בעינם עומדים, ובהיעדר ממצא כטענות ההגנה, אין כדי להעלות או להוריד; באותה מידה לא נמצא פרופיל DNA של המתלוננת במוצגים שנלקחו מהחדר (למשל כיסוי כרית ומיטה – נ/8, ע' 2-3), והרי אין חולק כי הנאשם והמתלוננת ישבו על הספה והתנשקו",אמינה בגלל חיזוק חיצוני
19117,ME-12-03-25945-23,"חיזוקים בראיות נוספות לגירסתה המהימנה של המתלוננת: 21. הערה ראייתית: לפי  ל, לעדותה האמינה והברורה של המתלוננת בביהמ""ש לעצם מעשי הנאשם, לא נדרשת תוספת ראייתית, אלא יש צורך בפירוט בהכרעת הדין מה הניע את ביהמ""ש להסתפק בעדות זו. בבית המשפט העליון כבר נפסק בהקשר זה: ""...סע' 54א(ב) ל קובע...מלשון הסעיף עולה כי בית-המשפט רשאי להסתמך על עדות יחידה של מתלוננת, ובלבד שיפרט מה הניע אותו להסתפק בעדות זו...בהיעדר דרישת סיוע יכולה הכרעת-הדין להיות מושתתת על מימצאי המהימנות שקבע בית-המשפט ועליהם בלבד. אשר-על-כן מידת הזהירות מחייבת כי ההנמקה תהא ""ממשית""... ברור כי כאשר התרשמותו של בית-המשפט ממהימנות המתלוננת נתמכת בראיות חיצוניות – די בכך כדי לספק את דרישת ההנמקה..."" [ע""פ 993/00 נור, פ""ד נו (6) 205, 215-216; ראו גם:  פלוני, בסע' 10 לפסה""ד;  פלוני, בסע' 17 לפסה""ד, מיום 1.9.09].",חיזוקים בראיות נוספות לגירסתה המהימנה של המתלוננת: 21,אמינה בגלל חיזוק חיצוני
19127,ME-12-03-25945-23,"ובענייננו: בנוסף לעדותה העקבית, הברורה והאמינה של המתלוננת, ולפירוט מדוע ניתן להסתפק בעדות זו להרשעת הנאשם כמפורט לעיל ולהלן, יפורטו להלן גם ראיות חיצוניות המחזקות את גירסת המתלוננת ונותנות לה משנה תוקף. כל זאת בנוסף לאי אמינות הנאשם וחוסר המהימנות של גירסתו, הסתירות, ואמירות מפיו שלו, המהווים כולם אף הם, חיזוק לגירסת המתלוננת. כל אלה מגבשים תמונה ברורה וחדה, בדבר הוכחת אשמת הנאשם מעבר לספק סביר בעבירות שביצע.","ובענייננו: בנוסף לעדותה העקבית, הברורה והאמינה של המתלוננת, ולפירוט מדוע ניתן להסתפק בעדות זו להרשעת הנאשם כמפורט לעיל ולהלן, יפורטו להלן גם ראיות חיצוניות המחזקות את גירסת המתלוננת ונותנות לה משנה תוקף",אמינה בגלל חיזוק חיצוני
19263,ME-12-03-25945-23,"30. ההגנה טענה (עמ' 13-14 לסיכומיה): רישום גירסת המתלוננת בטלפון הנייד של יעל ומתי נרשמו הדברים, מטיל ספק במהימנות המתלוננת ובמהימנותה של יעל. ואולם דינן של הטענות להידחות: א. הסוגיה האם יעל רשמה את מה שסיפרה לה המתלוננת מיד כשפגשה את המתלוננת או כשהן ירדו למטה מהאירוע איננה מהותית, שהרי מועד הרישום היה בכל מקרה סמוך מאד לאירוע; זאת, כפי שיעל עצמה העידה בחקירתה הנגדית: ""...רשמתי את זה לא במסיבה אלא כשירדנו למטה. זה היה מספר דקות אחרי."" (עמ' 39 לפר', מיום 15.10.12, שו' 18-19; ראו גם בעדות המתלוננת – עמ' 21 לפר' מיום 9.10.12, שו' 6-10). ב. יעל הסבירה שהיא רשמה את דברי המתלוננת ""אולי כדי להקל על השוטרים...מתוך רגש חברי, מתוך אזרחות טובה."" (ע' 39 לפר', ש' 12-15). אלה הסברים סבירים ומתקבלים על הדעת, מה גם שיעל למדה שנה משפטים בתיכון (עמ' 35 לפר', שו' 29), ואף הסבירה באותו הקשר מהי עדות מפי השמועה (ע' 35 לפר', שו' 26-27). לא רק שאין לזקוף לחובתה את הרישום בטלפון, אלא כעולה מסיכומי ההגנה (עמ' 14, סע' 93), הרישום בטלפון הנייד, שהינו תיעוד ליבת האירוע, באופן ספונטני, סמוך לאירוע - מחזק גם הוא את גירסת המתלוננת. ג. לאחר ששמעתי וראיתי את עת/2 יעל, לא התרשמתי שמדובר בעדה ""מאוד מתוחכמת"" כטענת ההגנה בסיכומיה (עמ' 14), אלא בעדה מהימנה, שהעידה בפשטות, בעקביות ובכנות, כאמור לעיל. עדותה של יעל, לה סיפרה המתלוננת סמוך לאחר הארוע את שעשה לה הנאשם, מהווה איפוא, כשלעצמה, ראיית חיזוק של ממש לגירסתה המהימנה של המתלוננת (השוו:  פלוני דלעיל, בסע' 23 ו-33 לפסה""ד מיום 25.2.13). זאת, בנוסף לראיות החיזוק הנוספות, המפורטות לעיל ולהלן."," עדותה של יעל, לה סיפרה המתלוננת סמוך לאחר הארוע את שעשה לה הנאשם, מהווה איפוא, כשלעצמה, ראיית חיזוק של ממש לגירסתה המהימנה של המתלוננת (השוו:  פלוני דלעיל, בסע' 23 ו-33 לפסה""ד מיום 25",אמינה בגלל חיזוק חיצוני
19372,ME-12-03-25945-23,"38. למתלוננת אין מניע/סיבה להעליל על הנאשם: הנאשם העיד שהמתלוננת סיפרה את מה שהוא עשה לה כי היא לא רצתה שההורים שלה יידעו שהיא היתה במסיבה ושהיא נכנסה איתו לחדר ללא היכרות מוקדמת ונעלמה לחברות שלה (עמ' 45 לפר' מיום 31.10.12, שו' 3-8). ההגנה טענה (עמ' 17 לסיכומיה) שהמתלוננת נלחצה מהתגובה ההיסטרית של חברותיה, ו""נדחקה אל הקיר"" נוכח ידיעת חברותיה שהיא בגדה בחבר שלה, ולא היה לה נעים מולן (עמ' 18 לסיכומיה). ואולם: גירסת הנאשם איננה סבירה ואיננה מהימנה, ודינה להידחות וכך גם טענותיו: א. בנוסף לגירסתה המהימנה של המתלוננת, הרי שמספר עדים (יעל, סתיו, רן, קורל) ראו את המתלוננת כשהיא בהלם, קפואה, לא משתפת פעולה, ממעטת בדיבור, בוכה, וכן היא סיפרה להם (כל אחד לפי חלקו) על מה שארע לה. היינו, יש ראיות מסמוך לאחר האירוע, שלפיהן למתלוננת אכן ארע מה שהיא העידה שארע לה, ואין זו כלל המצאה מצידה. ב. בלתי סביר ובלתי מהימן לטעון, שבגלל חשש מהוריה או מחברותיה או מחבר, המתלוננת תבדה לא פחות מאשר מעשה אונס ומעשים מגונים, תתלונן על כך במשטרה, תעבור בדיקה גופנית פולשנית בבית חולים ע""י פתולוג, תתעמת על כך עם הנאשם במשטרה, ותעיד על כך בבית המשפט לרבות בחקירה נגדית, כשהיא מעידה על שארע לה, שוב ושוב, וזאת בפשטות ובכנות. גם נראה, שסביר דווקא שהמתלוננת היתה מעדיפה לא לחשוף אירוע קשה כזה לו המציאה אותו, אך היא לא עשתה כן כי הוא אכן ארע, כפי שהיא ואחרים העידו כחיזוק, כמפורט בהכרעת דין זו. ודוק: מול חברותיה יכולה היתה המתלוננת לתאר אירוע מיני מינורי ובכך לרצותן, אך היא לא עשתה כן כי מה שארע לה היה אונס ומעשים מגונים. ומול הוריה – לו היא העלילה על הנאשם, המתלוננת יכולה היתה לא לספר להם אך היא כן סיפרה, והעידה שהרגישה יותר טוב כשסיפרה להם (עמ' 31 לפר' מיום 9.10.12, שו' 16-19).  ג. בעדותו בבית המשפט הנאשם טען: ""איך קרה לי סיטואציה שאני עם בחורה כזו היא טמנה לי מלכודת, בשניה שלא נראה לה משהו עם החברות שלה היא התלוננה עליי.""(ע' 39 לפר',ש' 14-15).גם טענה זו של הנאשם דינה להידחות: מתלוננת זו, שכך העידה, וכך חוזקה גירסתה בראיות נוספות, וכך נראתה ונשמעה בבית המשפט, לא טמנה לנאשם מלכודת. גם אין זו גירסה אמינה ואין זה סביר שכך ארע, כמו גם לומר שברגע שלא נראה לה משהו עם חברותיה, היא תתלונן עליו. ודוק: המתלוננת אמרה בעימות בפשטות: ""...למה יש לי לשקר, כל שאמרתי היה נכון ואין מה לשקר..."" (ת/4, עמ' 3, שו' 64). לא למותר להזכיר שקודם לאירוע נשוא האישום, לא היתה כל היכרות קודמת לא כל שכן סכסוך, בין הנאשם למתלוננת. בנוסף, שלא כנטען בסיכומי ההגנה כאמור, חברותיה של המתלוננת לא הגיבו ""תגובה היסטרית"", אלא הגיבו באופן טבעי וסביר כמצופה ממי שחברתן מספרת להן (למי מהן פחות ולמי יותר) אירוע מיני קשה שחוותה זה עתה - שהנאשם אנס אותה וביצע בה מעשים מגונים, כפי שהעידה, כאמור. מה גם, שכשבחורות נלחצות מכך שהמתלוננת לא שבה אחרי שהלכה עם הנאשם, וכשהיא שבה היא שרויה בהלם (ע' 17 לסיכומי ההגנה), אין זו תגובה היסטרית שלהן. ודוק: היעדר מניע לתלונת שווא מצד המתלוננת, גם הוא חיזוק לגירסתה (ראו:  פלוני, בסע' 22; השוו עוד בסוגיה, לאחרונה:  פלוני דלעיל, בסע' 25 לפסה""ד מיום 25.2.13)."," בנוסף לגירסתה המהימנה של המתלוננת, הרי שמספר עדים (יעל, סתיו, רן, קורל) ראו את המתלוננת כשהיא בהלם, קפואה, לא משתפת פעולה, ממעטת בדיבור, בוכה, וכן היא סיפרה להם (כל אחד לפי חלקו) על מה שארע לה",אמינה בגלל חיזוק חיצוני
19652,ME-12-03-25945-23,"עדותה העקבית והמהימנה של המתלוננת, שגירסתה גם חוזקה בראיות שונות כאמור, מפריכה איפוא את טענת הסניגור ל""טעות"". כל זאת בנוסף לחוסר מהימנות גירסת הנאשם, כמפורט לעיל.","עדותה העקבית והמהימנה של המתלוננת, שגירסתה גם חוזקה בראיות שונות כאמור, מפריכה איפוא את טענת הסניגור ל""טעות""",אמינה בגלל חיזוק חיצוני
