sentence_id,title,sentence_text,paragraph_text,origin_sentence
7961,s01777,"גירסה של היא של ה מתלוננת , ב עיקרה , ב כל ה קשור ל אירוע אשר התרחש ב צומת קסטינה , מקובלת על אני .","4. גירסתה של המתלוננת, בעיקרה, בכל הקשור לאירוע אשר התרחש בצומת קסטינה, מקובלת עלי. אמנם, אין לשלול לחלוטין את האפשרות שבין הנאשם למתלוננת נוצרה ""הבנה"" מסוימת, גם אם לא מפורשת, כי בתמורה לתשלום, ייתכן והמתלוננת תידרש למגע פיזי מסוים. עם זאת, הראיות מצביעות על כך שהמגע אשר אותו יצר הנאשם עם המתלוננת בין העצים באותה שעה, לא ניתנה לגביו הסכמה מפורשת מצד המתלוננת."," גירסתה של המתלוננת, בעיקרה, בכל הקשור לאירוע אשר התרחש בצומת קסטינה, מקובלת עלי"
25524,SH-10-11-34300-792,"ל כך מתווסף ה חשש כי עדות של היא ה ראשונית של ה מתלוננת אינה נקייה מ זיהומים שונים זאת ניתן ללמוד מ כך ש ה מתלוננת נמצאה על ידי אח של היא ב בית של הוא של ה נאשם , ו ככל ה נראה עקב צעקה של היא של אח של היא , למדה ה מתלוננת מיד כי מה ש ארע הינו פסול ו אסור ו בעקבות ה צעקות של אח של היא על ה נאשם בחרה לספר כי ה נאשם הוא זה ש פגע ב היא .","חוסר יכולתה של המתלוננת לזכור או להבחין בין דברים שקלטה בחושיה בזמן אמת לבין דברים שקלטה בשלב מאוחר יותר וככל הנראה הוסיפה אותם לאותו סל של זיכרונות מעוררת קושי בקבלת עדותה של המתלוננת. לכך מתווסף החשש כי עדותה הראשונית של המתלוננת אינה נקייה מזיהומים שונים זאת ניתן ללמוד מכך שהמתלוננת נמצאה על ידי אחותה בביתו של הנאשם, וככל הנראה עקב צעקותיה של אחותה, למדה המתלוננת מיד כי מה שארע הינו פסול ואסור ובעקבות הצעקות של אחותה על הנאשם בחרה לספר כי הנאשם הוא זה שפגע בה. שנית במהלך עדותה המתלוננת השתמשה במושגים שנראה כאילו ""הושתלו"" בגרסתה ולאו דווקא באופן מכוון, כדוגמת הביטוי ""טיפות נמשכות"" שנתן לה הנאשם. שלישית חלוף הזמן מקרות האירוע יכול לגרום גם לאדם ללא לקות קוגניטיבית לשכוח פרטים לא כל שכן לאדם עם פיגור שכלי קל כשל המתלוננת, על אף האמור מר הרן העיד כי בפגישה האחרונה עם המתלוננת כשבועיים לפני עדותה בבית המשפט, התרשם כי המתלוננת זוכרת הכל ""היא חזרה על אותם הדברים שסיפרה לפני ארבע שנים בסמוך לאירוע"" (ר' עמ' 15 שו' 29-31). דבר זה לא רק שאינו מעורר אמון אלא אף מעורר חשד כיצד המתלוננת זוכרת את האירוע לפרטי פרטים ארבע שנים לאחריו, בעוד שזמן קצר אחרי האירוע מסרה גרסאות שונות לחלוטין ולא זכרה את גרסתה הראשונית לאירוע. ניתן להסביר עניין זה בכך שהמתלוננת חזרה על הסיפור הזה פעמים רבות במהלך השנים עד כי יודעת לספר אותו כאילו אכן קרה לה."," לכך מתווסף החשש כי עדותה הראשונית של המתלוננת אינה נקייה מזיהומים שונים זאת ניתן ללמוד מכך שהמתלוננת נמצאה על ידי אחותה בביתו של הנאשם, וככל הנראה עקב צעקותיה של אחותה, למדה המתלוננת מיד כי מה שארע הינו פסול ואסור ובעקבות הצעקות של אחותה על הנאשם בחרה לספר כי הנאשם הוא זה שפגע בה"
48229,s02005082-239,"ל טענה של הוא , גירסה של היא של ה מתלוננת ש העידה כי נכנסה ל חדר ש ב הוא היה נוכח בכדי לנטרל את ה אזעקה , אינה הגיונית משום ש מערכת ה אזעקה חולשת על כל ה מתחם ו לכן לא יכול להיות מצב ש ימצא מישהו ב חדר מבלי ש ה אזעקה תפעל .","לטענתו, גירסתה של המתלוננת שהעידה כי נכנסה לחדר שבו היה נוכח בכדי לנטרל את האזעקה, אינה הגיונית משום שמערכת האזעקה חולשת על כל המתחם ולכן לא יכול להיות מצב שימצא מישהו בחדר מבלי שהאזעקה תפעל.","לטענתו, גירסתה של המתלוננת שהעידה כי נכנסה לחדר שבו היה נוכח בכדי לנטרל את האזעקה, אינה הגיונית משום שמערכת האזעקה חולשת על כל המתחם ולכן לא יכול להיות מצב שימצא מישהו בחדר מבלי שהאזעקה תפעל"
53595,ME-12-10-2187-137,"תיאור של היא של ה מתלוננת את רגע ה סיום של אירוע ה ליבה ו הפסקת ה חדירה ל תוכה , מעניין מ מספר היבטים .","תיאורה של המתלוננת את רגע הסיום של אירוע הליבה והפסקת החדירה לתוכה, מעניין ממספר היבטים. ראשית – הסיפור הייחודי של צלצול טלפון שגרם לתגובה מיידית ומהירה של הפסקת החדירה, התרוממות מעליה, ומענה לשיחה, ואח""כ עזיבת המקום והמשך הנסיעה, התאשר במלואו מפי הנאשם, כאשר זנח את גרסתו המכחישה ובחר לתאר את האמת, כביכול, מנקודת מבטו. ניתן לקבוע, איפוא, ובהעדר כל סיבה לפקפק בכך, שתיאורה של המתלוננת, שמלכתחילה מסרה אותו לחוקרי המשטרה - נכון ומדוייק. שנית - גם כאן, אנו רואים אותות של מהימנות וכנות. המתלוננת סיפרה על מצב, שאלמלא הנסיבות העגומות עד מאוד, יכול היה להיחשב מעט קומי. אותו אנס שחדר לגופה, בניגוד למחאתה ושלא בהסכמתה והחל לבעול אותה, מפסיק באחת, כמעין ""אוטומטי"" (וזה ביטוי שהנאשם עצמו טבע בהקשר זה  באמרתו ת/1 ג), ומשהוא מתבקש להחזיר את הרכב ששאל מחברו, הוא ממהר, כחייל ממושמע, לזנוח את מעשה האינוס בעיצומו, להתלבש ולמהר, חיש קל, להשיב את הרכב, אחרי הורדת המתלוננת. מקטע זה של הסיפור, שכאמור התאשר על ידי הנאשם עצמו, אף הוא מתיישב עם גישתה הכללית של המתלוננת, שלא להאדיר ושלא להעניק נופך דרמטי לאירוע, יותר מכפי שהיה במציאות, ובמחיר אפשרי (מנקודת מבט סובייקטיבית לחלוטין והיפותטית של המתלוננת) של כרסום באמפתיה וברצינות שאפשר שמאן דהוא, חוקרי המשטרה או בית המשפט, ייחסו לחומרת הדברים ולעוצמת הפגיעה שחוותה.","תיאורה של המתלוננת את רגע הסיום של אירוע הליבה והפסקת החדירה לתוכה, מעניין ממספר היבטים"
54677,m98326a,"לעמדתי , גירסה של היא של ה מתלוננת קוהרנטית , עקבית , הגיונית ו משכנעת .","7. לעמדתי, גירסתה של המתלוננת קוהרנטית, עקבית, הגיונית ומשכנעת. הילדה סיפרה, כיצד הרגישה בשנתה ליטופים, כיצד כאשר התעוררה, והנאשם הבחין בכך, סימן לה באמצעות הנחת אצבעו על שפתותיו, שעליה לשתוק. הילדה תיארה כיצד תוך כדי כך שכפה את עצמו עליה, הוא שמע רעשים ממיטתה של המדריכה, ואז החזיר למתלוננת את תחתוניה המופשלים, מיהר אל השירותים והוריד את המים (ואוסיף - כדי שיוכל להסביר למדריכה, אם תתעורר משנתה, מדוע אינו במיטתו-מיטתה). בנוסף להתרשמותי מכנותה של הילדה, בעת שהעידה לפנינו, לא מתקבל על דעתי, כי ילדה כבת 11.5, המבקשת להעליל על אדם זר, במטרה לפגוע במדריכה, וזהו הסברה של ההגנה לתלונתה של הקטינה, תיתן פירוט כה הגיוני ומפורט של האירוע."," לעמדתי, גירסתה של המתלוננת קוהרנטית, עקבית, הגיונית ומשכנעת"
61202,m06003037,"ו ביתר פירוט : ל , ה תשט""ו - 1955 קובע כי אמנם עדות של היא של ה מתלוננת בפני חוקרת ה ילדים כשרה להתקבל כ ה ראיה , אלא ל חוק זה קובע כי :","וביתר פירוט:  ל, התשט""ו – 1955 קובע כי אמנם עדותה של המתלוננת בפני חוקרת הילדים כשרה להתקבל כראיה, אלא  לחוק זה קובע כי:","וביתר פירוט:  ל, התשט""ו – 1955 קובע כי אמנם עדותה של המתלוננת בפני חוקרת הילדים כשרה להתקבל כראיה, אלא  לחוק זה קובע כי:"
61219,m06003037,"כך , מקום ש מ ה ימנות עדות של הוא של ה מתלונן גבוהה היא ניתן להסתפק ב ראיית סיוע בעלת משקל לא רב ו להיפך ( מדינת ישראל נ' פלוני , פ""ד מז ( 1 ) 292 , 302 ) .","משקלו הראייתי של הסיוע משתנה בהתאם למשקל הראייתי של העדות הטעונה סיוע. כך, מקום שמהימנות עדותו של המתלונן גבוהה היא ניתן להסתפק בראיית סיוע בעלת משקל לא רב ולהיפך ( מדינת ישראל נ' פלוני, פ""ד מז (1) 292, 302)."," כך, מקום שמהימנות עדותו של המתלונן גבוהה היא ניתן להסתפק בראיית סיוע בעלת משקל לא רב ולהיפך ( מדינת ישראל נ' פלוני, פ""ד מז (1) 292, 302)"
61323,m06003037,"כן אמרנו כי מקום ש מ ה ימנות עדות של הוא של ה מתלונן גבוהה היא ניתן להסתפק ב ראיית סיוע ב עלת משקל לא רב ( פרשת פלוני , לעיל ) .","פירטתי לעיל בהרחבה כי מהימנות עדותה של המתלוננת גבוהה היא בעיניי ונתמכת בראיות נוספות, ובכללן בהודיית הנאשם בדבר שהותו ביחידות עם המתלוננת ברכבו הקושרת אותו למעשה העבירה. כן אמרנו כי מקום שמהימנות עדותו של המתלונן גבוהה היא ניתן להסתפק בראיית סיוע בעלת משקל לא רב (פרשת פלוני, לעיל)."," כן אמרנו כי מקום שמהימנות עדותו של המתלונן גבוהה היא ניתן להסתפק בראיית סיוע בעלת משקל לא רב (פרשת פלוני, לעיל)"
69955,ME-91-342-HK,"סיכום של הוא של דבר , גרסה של היא של ה מתלוננת לגבי ה מעשים ש נאשם 3 ביצע כלפי היא ב עת ש היו יחד ב חדר , מקובלת ו מ הימנת על אני .","סיכומו של דבר, גרסתה של המתלוננת לגבי המעשים שנאשם 3 ביצע כלפיה בעת שהיו יחד בחדר, מקובלת ומהימנת עלי.","סיכומו של דבר, גרסתה של המתלוננת לגבי המעשים שנאשם 3 ביצע כלפיה בעת שהיו יחד בחדר, מקובלת ומהימנת עלי"
70350,ME-12-09-33735-44,עדות של היא של ה מתלוננת מהימנה ו יש להעדיף את היא על פני עדות של הוא של ה נאשם .,"עדותה של המתלוננת מהימנה ויש להעדיף אותה על פני עדותו של הנאשם. ראשית, הרושם שהשאירה המתלוננת בעדותה היה של עדה אמינה, העידה על דברים כפי שהתרחשו, על חוויות שחוותה. עדותה עקבית, קוהרנטית וסדורה. גרסתה של המתלוננת מתיישבת עם הגיונם של דברים. בעדותה של המתלוננת בבית המשפט ניכרו אותות אמת.",עדותה של המתלוננת מהימנה ויש להעדיף אותה על פני עדותו של הנאשם
