sentence_id,origin_sentence,category,new_category,invokes_myth,myth_polarity,myth_trigger,myth_reason,myth_raw
61202,"וביתר פירוט:  ל, התשט""ו – 1955 קובע כי אמנם עדותה של המתלוננת בפני חוקרת הילדים כשרה להתקבל כראיה, אלא  לחוק זה קובע כי:",לא רלוונטי,לא רלוונטי,False,לא_רלוונטי,,"המשפט עוסק בהוראות חוק פרוצדורליות לגבי קבילות עדותה של קטינה בפני חוקרת ילדים, ללא כל התייחסות למניע להעללה או תלונת שווא.","```json
{""invokes_myth"": false, ""polarity"": ""לא_רלוונטי"", ""trigger"": null, ""reason"": ""המשפט עוסק בהוראות חוק פרוצדורליות לגבי קבילות עדותה של קטינה בפני חוקרת ילדים, ללא כל התייחסות למניע להעללה או תלונת שווא.""}
```"
61219," כך, מקום שמהימנות עדותו של המתלונן גבוהה היא ניתן להסתפק בראיית סיוע בעלת משקל לא רב ולהיפך ( מדינת ישראל נ' פלוני, פ""ד מז (1) 292, 302)","עוסק בעמדת הצדדים בנוגע להערכת המהימנות ולא עמדת השופט, הלכות כלליות בנוגע להערכת מהימנות, לא נוגע להערכה מהימנות כלל",לא רלוונטי,False,לא_רלוונטי,,"השופט דן בכלל משפטי כללי הנוגע ליחס בין מהימנות העדות למשקל ראיית הסיוע, ללא כל אזכור של מניע להעללה, נקמנות או תלונת שווא.","```json
{""invokes_myth"": false, ""polarity"": ""לא_רלוונטי"", ""trigger"": null, ""reason"": ""השופט דן בכלל משפטי כללי הנוגע ליחס בין מהימנות העדות למשקל ראיית הסיוע, ללא כל אזכור של מניע להעללה, נקמנות או תלונת שווא.""}
```"
53595,"תיאורה של המתלוננת את רגע הסיום של אירוע הליבה והפסקת החדירה לתוכה, מעניין ממספר היבטים",לא רלוונטי,לא רלוונטי,False,לא_רלוונטי,,"המשפט עוסק בתיאור סיום האירוע ללא כל אזכור של מניע להעללה, נקמנות או תלונת שווא.","```json
{""invokes_myth"": false, ""polarity"": ""לא_רלוונטי"", ""trigger"": null, ""reason"": ""המשפט עוסק בתיאור סיום האירוע ללא כל אזכור של מניע להעללה, נקמנות או תלונת שווא.""}
```"
61323," כן אמרנו כי מקום שמהימנות עדותו של המתלונן גבוהה היא ניתן להסתפק בראיית סיוע בעלת משקל לא רב (פרשת פלוני, לעיל)","עוסק בעמדת הצדדים בנוגע להערכת המהימנות ולא עמדת השופט, הלכות כלליות בנוגע להערכת מהימנות, לא נוגע להערכה מהימנות כלל",לא רלוונטי,False,לא_רלוונטי,,"השופט דן בדרישת הסיוע הראייתית ובמהימנות הכללית, ללא כל אזכור של מניע להעללה, נקמה או תלונת שווא.","```json
{""invokes_myth"": false, ""polarity"": ""לא_רלוונטי"", ""trigger"": null, ""reason"": ""השופט דן בדרישת הסיוע הראייתית ובמהימנות הכללית, ללא כל אזכור של מניע להעללה, נקמה או תלונת שווא.""}
```"
48229,"לטענתו, גירסתה של המתלוננת שהעידה כי נכנסה לחדר שבו היה נוכח בכדי לנטרל את האזעקה, אינה הגיונית משום שמערכת האזעקה חולשת על כל המתחם ולכן לא יכול להיות מצב שימצא מישהו בחדר מבלי שהאזעקה תפעל","עוסק בעמדת הצדדים בנוגע להערכת המהימנות ולא עמדת השופט, הלכות כלליות בנוגע להערכת מהימנות, לא נוגע להערכה מהימנות כלל",לא רלוונטי,False,לא_רלוונטי,,"המשפט עוסק בטענת הנאשם לגבי חוסר היגיון טכני בגרסת המתלוננת (מערכת האזעקה), ללא כל אזכור של מניע להעללה, נקמנות או תלונת שווא.","```json
{
  ""invokes_myth"": false,
  ""polarity"": ""לא_רלוונטי"",
  ""trigger"": null,
  ""reason"": ""המשפט עוסק בטענת הנאשם לגבי חוסר היגיון טכני בגרסת המתלוננת (מערכת האזעקה), ללא כל אזכור של מניע להעללה, נקמנות או תלונת שווא.""
}
```"
54677," לעמדתי, גירסתה של המתלוננת קוהרנטית, עקבית, הגיונית ומשכנעת","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה","קבלת עדות המתלוננת במלואה לאור רושם חיובי, כנות ומהימנות גבוהה",False,לא_רלוונטי,,"השופט קובע כי גרסת המתלוננת אמינה על בסיס קוהרנטיות ועקביות, ללא כל אזכור של מניע להעללה או נקמנות.","{""invokes_myth"": false, ""polarity"": ""לא_רלוונטי"", ""trigger"": null, ""reason"": ""השופט קובע כי גרסת המתלוננת אמינה על בסיס קוהרנטיות ועקביות, ללא כל אזכור של מניע להעללה או נקמנות.""}"
7961," גירסתה של המתלוננת, בעיקרה, בכל הקשור לאירוע אשר התרחש בצומת קסטינה, מקובלת עלי","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה","קבלת עדות המתלוננת במלואה לאור רושם חיובי, כנות ומהימנות גבוהה",False,לא_רלוונטי,,"השופט מקבל את גרסת המתלוננת לגבי האירוע ללא כל אזכור של מניע להעללה, נקמנות או תלונת שווא.","```json
{""invokes_myth"": false, ""polarity"": ""לא_רלוונטי"", ""trigger"": null, ""reason"": ""השופט מקבל את גרסת המתלוננת לגבי האירוע ללא כל אזכור של מניע להעללה, נקמנות או תלונת שווא.""}
```"
25524," לכך מתווסף החשש כי עדותה הראשונית של המתלוננת אינה נקייה מזיהומים שונים זאת ניתן ללמוד מכך שהמתלוננת נמצאה על ידי אחותה בביתו של הנאשם, וככל הנראה עקב צעקותיה של אחותה, למדה המתלוננת מיד כי מה שארע הינו פסול ואסור ובעקבות הצעקות של אחותה על הנאשם בחרה לספר כי הנאשם הוא זה שפגע בה","לא אמינה כי נתפסת כנקמנית, חשש להעללה או האשמת שווא",דחיית עדות המתלוננת עקב חוסר עקביות וסתירות מהותיות בגרסתה,True,אומץ,ובעקבות הצעקות של אחותה על הנאשם בחרה לספר כי הנאשם הוא זה שפגע בה,השופט מאמץ את החשש שהמתלוננת בחרה להאשים את הנאשם (להעליל עליו) כתוצאה מלחץ חיצוני או הבנה מאוחרת של הסיטואציה בעקבות תגובת אחותה.,"```json
{
  ""invokes_myth"": true,
  ""polarity"": ""אומץ"",
  ""trigger"": ""ובעקבות הצעקות של אחותה על הנאשם בחרה לספר כי הנאשם הוא זה שפגע בה"",
  ""reason"": ""השופט מאמץ את החשש שהמתלוננת בחרה להאשים את הנאשם (להעליל עליו) כתוצאה מלחץ חיצוני או הבנה מאוחרת של הסיטואציה בעקבות תגובת אחותה.""
}
```"
87269," אפתח ואומר, כי גרסתה של המתלוננת עצמה אינה עקבית ומאופיינת בסתירות מהותיות ובחללים פנימיים, שבאו לידי ביטוי, במיוחד, בתיאורה את התנהגותה והתנהגות הנאשם, ובדינמיקה שהיתה ביניהם במהלך אותו לילה, מהן ניתן ללמוד על קרבה אינטימית ביניהם, על משיכה מינית מצדה ועל הסכמתה לקיום היחסים","לא אמינה כי לא עקבית, הציגה סתירות",דחיית עדות המתלוננת עקב חוסר עקביות וסתירות מהותיות בגרסתה,False,לא_רלוונטי,,"השופט קובע כי גרסת המתלוננת אינה עקבית ומסיק שהייתה הסכמה ליחסים, אך אינו מאזכר מניע להעללה, נקמנות או תלונת שווא.","```json
{
  ""invokes_myth"": false,
  ""polarity"": ""לא_רלוונטי"",
  ""trigger"": null,
  ""reason"": ""השופט קובע כי גרסת המתלוננת אינה עקבית ומסיק שהייתה הסכמה ליחסים, אך אינו מאזכר מניע להעללה, נקמנות או תלונת שווא.""
}
```"
70350,עדותה של המתלוננת מהימנה ויש להעדיף אותה על פני עדותו של הנאשם,אמינה בגלל שהנאשם לא אמין,העדפת עדותה המהימנה של המתלוננת ודחיית גרסת הנאשם עקב חוסר אמינותו,False,לא_רלוונטי,,"השופט קובע כי עדות המתלוננת מהימנה ומעדיף אותה על פני עדות הנאשם, ללא כל אזכור או התייחסות לאפשרות של עלילה, נקמנות או מניע שקרי.","```json
{
  ""invokes_myth"": false,
  ""polarity"": ""לא_רלוונטי"",
  ""trigger"": null,
  ""reason"": ""השופט קובע כי עדות המתלוננת מהימנה ומעדיף אותה על פני עדות הנאשם, ללא כל אזכור או התייחסות לאפשרות של עלילה, נקמנות או מניע שקרי.""
}
```"
69955,"סיכומו של דבר, גרסתה של המתלוננת לגבי המעשים שנאשם 3 ביצע כלפיה בעת שהיו יחד בחדר, מקובלת ומהימנת עלי","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה","קבלת עדות המתלוננת במלואה לאור רושם חיובי, כנות ומהימנות גבוהה",False,לא_רלוונטי,,"השופט קובע כי גרסת המתלוננת מהימנה עליו, ללא כל התייחסות למניע להעללה, נקמה או תלונת שווא.","{""invokes_myth"": false, ""polarity"": ""לא_רלוונטי"", ""trigger"": null, ""reason"": ""השופט קובע כי גרסת המתלוננת מהימנה עליו, ללא כל התייחסות למניע להעללה, נקמה או תלונת שווא.""}"
70365," עדותה של המתלוננת אמינה, עקבית והגיונית, עדות אשר יש לה חיזוקים מעדים שונים, מראיות נוספות ומכוונים שונים",אמינה בגלל חיזוק חיצוני,קבלת גרסת המתלוננת בהיותה עדות מהימנה הנתמכת בראיות סיוע וחיזוקים,False,לא_רלוונטי,,"אמינות המתלוננת מבוססת על עקביות, היגיון וחיזוקים ראייתיים, ללא כל אזכור של מניע להעללה או נקמנות.","```json
{""invokes_myth"": false, ""polarity"": ""לא_רלוונטי"", ""trigger"": null, ""reason"": ""אמינות המתלוננת מבוססת על עקביות, היגיון וחיזוקים ראייתיים, ללא כל אזכור של מניע להעללה או נקמנות.""}
```"
87394," ראשית, תמוה בעיני, מדוע היה על המתלוננת, עת מבוצעים בה לכאורה מעשים מיניים בניגוד להסכמתה, וכשהיא עושה כל שלאל ידה בכדי להפסיקם, לציין בפני מבצע המעשים כי היא ""חרמנית""?! שנית, גרסה זו של המתלוננת אינה אחידה","לא אמינה כי לא עקבית, הציגה סתירות",דחיית עדות המתלוננת עקב חוסר עקביות וסתירות מהותיות בגרסתה,False,לא_רלוונטי,,"השופט מבקר את אמינות גרסת המתלוננת בשל חוסר עקביות והתנהגות שאינה מסתדרת עם הגיונם של דברים, ללא התייחסות למניע להעללה, נקמנות או תלונת שווא.","```json
{
  ""invokes_myth"": false,
  ""polarity"": ""לא_רלוונטי"",
  ""trigger"": null,
  ""reason"": ""השופט מבקר את אמינות גרסת המתלוננת בשל חוסר עקביות והתנהגות שאינה מסתדרת עם הגיונם של דברים, ללא התייחסות למניע להעללה, נקמנות או תלונת שווא.""
}
```"
