sentence_id,origin_sentence,category,new_category,model_reasoning
61202,"וביתר פירוט:  ל, התשט""ו – 1955 קובע כי אמנם עדותה של המתלוננת בפני חוקרת הילדים כשרה להתקבל כראיה, אלא  לחוק זה קובע כי:",לא רלוונטי,לא רלוונטי,המשפט מהווה דיון משפטי תאורטי כללי המצטט את הוראות החוק ואינו מבטא את הערכת השופט לגבי מהימנות המתלוננת במקרה הנדון.
61219," כך, מקום שמהימנות עדותו של המתלונן גבוהה היא ניתן להסתפק בראיית סיוע בעלת משקל לא רב ולהיפך ( מדינת ישראל נ' פלוני, פ""ד מז (1) 292, 302)","עוסק בעמדת הצדדים בנוגע להערכת המהימנות ולא עמדת השופט, הלכות כלליות בנוגע להערכת מהימנות, לא נוגע להערכה מהימנות כלל",לא רלוונטי,המשפט מציג דיון משפטי כללי והפניה לפסיקה ואינו מבטא את הערכת השופט לגבי מהימנות המתלונן במקרה הנדון.
53595,"תיאורה של המתלוננת את רגע הסיום של אירוע הליבה והפסקת החדירה לתוכה, מעניין ממספר היבטים",לא רלוונטי,לא רלוונטי,"המשפט אינו מעריך את מהימנות עדותה של המתלוננת או קובע ממצאים לגביה, אלא רק מציין כי תיאורה מעניין ממספר היבטים."
61323," כן אמרנו כי מקום שמהימנות עדותו של המתלונן גבוהה היא ניתן להסתפק בראיית סיוע בעלת משקל לא רב (פרשת פלוני, לעיל)","עוסק בעמדת הצדדים בנוגע להערכת המהימנות ולא עמדת השופט, הלכות כלליות בנוגע להערכת מהימנות, לא נוגע להערכה מהימנות כלל",לא רלוונטי,המשפט מהווה דיון משפטי תאורטי כללי המצטט הלכה משפטית ואינו עוסק בהערכת מהימנותה הספציפית של המתלוננת בתיק זה.
48229,"לטענתו, גירסתה של המתלוננת שהעידה כי נכנסה לחדר שבו היה נוכח בכדי לנטרל את האזעקה, אינה הגיונית משום שמערכת האזעקה חולשת על כל המתחם ולכן לא יכול להיות מצב שימצא מישהו בחדר מבלי שהאזעקה תפעל","עוסק בעמדת הצדדים בנוגע להערכת המהימנות ולא עמדת השופט, הלכות כלליות בנוגע להערכת מהימנות, לא נוגע להערכה מהימנות כלל",לא רלוונטי,המשפט מציג את טענתו של הנאשם לגבי גרסת המתלוננת ואינו מבטא את קביעת השופט או הערכתו לגבי מהימנותה.
54677," לעמדתי, גירסתה של המתלוננת קוהרנטית, עקבית, הגיונית ומשכנעת","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה","קבלת עדות המתלוננת במלואה לאור רושם חיובי, כנות ומהימנות גבוהה","המשפט מביע הערכה חיובית מובהקת של בית המשפט כלפי גרסת המתלוננת כמהימנה, עקבית ומשכנעת, ללא התייחסות לראיות סיוע או לגרסת הנאשם."
7961," גירסתה של המתלוננת, בעיקרה, בכל הקשור לאירוע אשר התרחש בצומת קסטינה, מקובלת עלי","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה","קבלת עדות המתלוננת במלואה לאור רושם חיובי, כנות ומהימנות גבוהה",המשפט מבטא את קבלת גרסתה של המתלוננת על ידי בית המשפט כמהימנה ומקובלת.
25524," לכך מתווסף החשש כי עדותה הראשונית של המתלוננת אינה נקייה מזיהומים שונים זאת ניתן ללמוד מכך שהמתלוננת נמצאה על ידי אחותה בביתו של הנאשם, וככל הנראה עקב צעקותיה של אחותה, למדה המתלוננת מיד כי מה שארע הינו פסול ואסור ובעקבות הצעקות של אחותה על הנאשם בחרה לספר כי הנאשם הוא זה שפגע בה","לא אמינה כי נתפסת כנקמנית, חשש להעללה או האשמת שווא",דחיית עדות המתלוננת עקב חוסר עקביות וסתירות מהותיות בגרסתה,"המשפט מביע ספק רב במהימנות עדותה הראשונית של המתלוננת ומצביע על חשש לזיהום גרסתה, ולכן הוא מסווג לקטגוריה העוסקת בדחיית עדותה."
87269," אפתח ואומר, כי גרסתה של המתלוננת עצמה אינה עקבית ומאופיינת בסתירות מהותיות ובחללים פנימיים, שבאו לידי ביטוי, במיוחד, בתיאורה את התנהגותה והתנהגות הנאשם, ובדינמיקה שהיתה ביניהם במהלך אותו לילה, מהן ניתן ללמוד על קרבה אינטימית ביניהם, על משיכה מינית מצדה ועל הסכמתה לקיום היחסים","לא אמינה כי לא עקבית, הציגה סתירות",דחיית עדות המתלוננת עקב חוסר עקביות וסתירות מהותיות בגרסתה,המשפט מציין במפורש כי גרסת המתלוננת אינה עקבית ומאופיינת בסתירות מהותיות.
70350,עדותה של המתלוננת מהימנה ויש להעדיף אותה על פני עדותו של הנאשם,אמינה בגלל שהנאשם לא אמין,העדפת עדותה המהימנה של המתלוננת ודחיית גרסת הנאשם עקב חוסר אמינותו,המשפט מביע העדפה ברורה של עדותה המהימנה של המתלוננת על פני גרסתו של הנאשם.
69955,"סיכומו של דבר, גרסתה של המתלוננת לגבי המעשים שנאשם 3 ביצע כלפיה בעת שהיו יחד בחדר, מקובלת ומהימנת עלי","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה","קבלת עדות המתלוננת במלואה לאור רושם חיובי, כנות ומהימנות גבוהה",המשפט מבטא את קבלת גרסתה של המתלוננת כמהימנה ומקובלת על ידי בית המשפט.
70365," עדותה של המתלוננת אמינה, עקבית והגיונית, עדות אשר יש לה חיזוקים מעדים שונים, מראיות נוספות ומכוונים שונים",אמינה בגלל חיזוק חיצוני,קבלת גרסת המתלוננת בהיותה עדות מהימנה הנתמכת בראיות סיוע וחיזוקים,"המשפט קובע כי עדות המתלוננת היא אמינה ועקבית, ומציין במפורש כי היא נתמכת בחיזוקים ובראיות נוספות."
