sentence_id,origin_sentence,category,new_category
48229,"לטענתו, גירסתה של המתלוננת שהעידה כי נכנסה לחדר שבו היה נוכח בכדי לנטרל את האזעקה, אינה הגיונית משום שמערכת האזעקה חולשת על כל המתחם ולכן לא יכול להיות מצב שימצא מישהו בחדר מבלי שהאזעקה תפעל","עוסק בעמדת הצדדים בנוגע להערכת המהימנות ולא עמדת השופט, הלכות כלליות בנוגע להערכת מהימנות, לא נוגע להערכה מהימנות כלל",לא רלוונטי
7961," גירסתה של המתלוננת, בעיקרה, בכל הקשור לאירוע אשר התרחש בצומת קסטינה, מקובלת עלי","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה",לא רלוונטי
53595,"תיאורה של המתלוננת את רגע הסיום של אירוע הליבה והפסקת החדירה לתוכה, מעניין ממספר היבטים",לא רלוונטי,לא רלוונטי
25524," לכך מתווסף החשש כי עדותה הראשונית של המתלוננת אינה נקייה מזיהומים שונים זאת ניתן ללמוד מכך שהמתלוננת נמצאה על ידי אחותה בביתו של הנאשם, וככל הנראה עקב צעקותיה של אחותה, למדה המתלוננת מיד כי מה שארע הינו פסול ואסור ובעקבות הצעקות של אחותה על הנאשם בחרה לספר כי הנאשם הוא זה שפגע בה","לא אמינה כי נתפסת כנקמנית, חשש להעללה או האשמת שווא",לא רלוונטי
61202,"וביתר פירוט:  ל, התשט""ו – 1955 קובע כי אמנם עדותה של המתלוננת בפני חוקרת הילדים כשרה להתקבל כראיה, אלא  לחוק זה קובע כי:",לא רלוונטי,לא רלוונטי
54677," לעמדתי, גירסתה של המתלוננת קוהרנטית, עקבית, הגיונית ומשכנעת","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה","קבלת עדות המתלוננת במלואה לאור רושם חיובי, כנות ומהימנות גבוהה"
61219," כך, מקום שמהימנות עדותו של המתלונן גבוהה היא ניתן להסתפק בראיית סיוע בעלת משקל לא רב ולהיפך ( מדינת ישראל נ' פלוני, פ""ד מז (1) 292, 302)","עוסק בעמדת הצדדים בנוגע להערכת המהימנות ולא עמדת השופט, הלכות כלליות בנוגע להערכת מהימנות, לא נוגע להערכה מהימנות כלל",לא רלוונטי
61323," כן אמרנו כי מקום שמהימנות עדותו של המתלונן גבוהה היא ניתן להסתפק בראיית סיוע בעלת משקל לא רב (פרשת פלוני, לעיל)","עוסק בעמדת הצדדים בנוגע להערכת המהימנות ולא עמדת השופט, הלכות כלליות בנוגע להערכת מהימנות, לא נוגע להערכה מהימנות כלל",לא רלוונטי
69955,"סיכומו של דבר, גרסתה של המתלוננת לגבי המעשים שנאשם 3 ביצע כלפיה בעת שהיו יחד בחדר, מקובלת ומהימנת עלי","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה","קבלת עדות המתלוננת במלואה לאור רושם חיובי, כנות ומהימנות גבוהה"
70365," עדותה של המתלוננת אמינה, עקבית והגיונית, עדות אשר יש לה חיזוקים מעדים שונים, מראיות נוספות ומכוונים שונים",אמינה בגלל חיזוק חיצוני,קבלת גרסת המתלוננת בהיותה עדות מהימנה הנתמכת בראיות סיוע וחיזוקים
70350,עדותה של המתלוננת מהימנה ויש להעדיף אותה על פני עדותו של הנאשם,אמינה בגלל שהנאשם לא אמין,העדפת עדותה המהימנה של המתלוננת ודחיית גרסת הנאשם עקב חוסר אמינותו
87269," אפתח ואומר, כי גרסתה של המתלוננת עצמה אינה עקבית ומאופיינת בסתירות מהותיות ובחללים פנימיים, שבאו לידי ביטוי, במיוחד, בתיאורה את התנהגותה והתנהגות הנאשם, ובדינמיקה שהיתה ביניהם במהלך אותו לילה, מהן ניתן ללמוד על קרבה אינטימית ביניהם, על משיכה מינית מצדה ועל הסכמתה לקיום היחסים","לא אמינה כי לא עקבית, הציגה סתירות",דחיית עדות המתלוננת עקב חוסר עקביות וסתירות מהותיות בגרסתה
87394," ראשית, תמוה בעיני, מדוע היה על המתלוננת, עת מבוצעים בה לכאורה מעשים מיניים בניגוד להסכמתה, וכשהיא עושה כל שלאל ידה בכדי להפסיקם, לציין בפני מבצע המעשים כי היא ""חרמנית""?! שנית, גרסה זו של המתלוננת אינה אחידה","לא אמינה כי לא עקבית, הציגה סתירות",דחיית עדות המתלוננת עקב חוסר עקביות וסתירות מהותיות בגרסתה
71138,"  לאחר שמיעת העדויות ולאור מכלול הראיות, הגעתי לכלל מסקנה כי עדותה של המתלוננת מהימנה ואני מעדיפה אותה על פני עדותו של הנאשם",אמינה בגלל שהנאשם לא אמין,העדפת עדותה המהימנה של המתלוננת ודחיית גרסת הנאשם עקב חוסר אמינותו
87978,"הגנת הנאשם וטענותיו הצריכות להכרעה בהליך הנוכחי, לנוכח הראיות שהובאו ע""י המאשימה, מתמקדות בכך, שמחד גיסא אין עדותה של הקטינה, כפי שניתנה בפני חוקרת ילדים, מהימנה כלל ועיקר, ומאידך גיסא - גם אין בנמצא כל ראיית סיוע לעדותה זו, דבר שהיעדרו, לפי החוק, חייב להוביל לזיכוי הנאשם","עוסק בעמדת הצדדים בנוגע להערכת המהימנות ולא עמדת השופט, הלכות כלליות בנוגע להערכת מהימנות, לא נוגע להערכה מהימנות כלל",לא רלוונטי
88492, עדותה הגרעינית של הילדה עקבית ומדוייקת בהזדמנויות שבהן ניתן לה לפרטה,"אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה",קבלת עדות הקטינה כעדות אמת מהימנה המגובה בהתרשמות חוקרת הילדים
104664," בניגוד לגרסאותיו של הנאשם, גרסתה של המתלוננת מבוססת ואיתנה",אמינה בגלל שהנאשם לא אמין,העדפת עדותה המהימנה של המתלוננת ודחיית גרסת הנאשם עקב חוסר אמינותו
90842," וכפי שציינתי שתי הגרסאות של המתלוננת תואמות, מצטלבות ומשתלבות כך שלביהמ""ש לא ברור מדוע בחר הנאשם להגיש את נ/1 כראייה מטעמו","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה",לא רלוונטי
102071,"המישור האובייקטיבי לאחר שקבעתי כי עדותו של המתלונן מהימנה, כי אני מאמין למתלונן שפניו של הנאשם נחרטו בזיכרונו במהלך האירוע והוא מזהה את הנאשם באופן וודאי, אפנה לבחון את האפשרות שהמתלונן טעה טעות כנה בזיהוי",לא רלוונטי,לא רלוונטי
104680," די היה לי, בנסיבות העניין, לקבוע כי גרסתה של המתלוננת מהימנה עלי וגרסת הנאשם אינה אמינה עלי ולהרשיע את הנאשם, שכן עפ""י  ל ניתן להרשיע בעבירת מין על סמך עדות יחידה תוך קיום חובת ההנמקה",אמינה בגלל שהנאשם לא אמין,העדפת עדותה המהימנה של המתלוננת ודחיית גרסת הנאשם עקב חוסר אמינותו
118001,עדותה של המתלוננת ביחס לפגיעות המיניות והאלימות של הנאשם כלפיה - אמינה בעיניי,"אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה","קבלת עדות המתלוננת במלואה לאור רושם חיובי, כנות ומהימנות גבוהה"
106104,"שוכנעתי כי עדותה של המתלוננת עומדת איתנה, עצמאית, בלתי תלויה, ונקייה משיקולים זרים, וממילא מהרגע בו הגישה את התלונה במשטרה, עבר הטיפול לידי המשטרה ורשויות התביעה וחזקה שהיה מקצועי וחסר פניות","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה","קבלת עדות המתלוננת במלואה לאור רושם חיובי, כנות ומהימנות גבוהה"
118116," לעומת זאת תיאורה של המתלוננת הגיוני, מפורט ותואם את נסיבות האירוע","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה","קבלת עדות המתלוננת לאור תיאור מפורט, אותנטי וברור של מסכת האירועים"
122547," גם עדותה של המתלוננת ת', הנוגעת אמנם בעיקרה לאירוע הראשון בו הודה הנאשם בשלב הסיכומים, הנה רלוונטית בסופו של דבר גם למחלוקת שנותרה",לא רלוונטי,לא רלוונטי
121422," כמו כן, מצאתי כי גרסתה של המתלוננת לעניין האירועים איננה הגיונית ואיננה סבירה","לא אמינה כי לא עקבית, הציגה סתירות",לא רלוונטי
121550, גרסה זו של המתלוננת איננה סבירה ואינה מהימנה,"לא אמינה כי לא עקבית, הציגה סתירות",דחיית עדות המתלוננת עקב חוסר עקביות וסתירות מהותיות בגרסתה
133749,"לטענת ב""כ הנאשם, כתב האישום שהוגש נגד מרשו מבוסס רובו ככולו על עדותה של המתלוננת עצמה, וכפי שכבר עולה מתיאור עדותה לעיל, עדות זו של המתלוננת חלשה במיוחד, רצופה שקרים, ואינה ראויה למשקל הדרוש כדי להרשיע אדם בפלילים","עוסק בעמדת הצדדים בנוגע להערכת המהימנות ולא עמדת השופט, הלכות כלליות בנוגע להערכת מהימנות, לא נוגע להערכה מהימנות כלל",לא רלוונטי
137690, נטען כי העדויות של המתלוננת ואימה לוקות בסתירות מהותיות ואינן הגיוניות,עוסק בעמדת הצדדים בנוגע להערכת המהימנות ולא עמדת השופט,לא רלוונטי
150296,  עדותה של המתלוננת לגבי  נאשם 2 איננה עקבית,"לא אמינה כי לא עקבית, הציגה סתירות",דחיית עדות המתלוננת עקב חוסר עקביות וסתירות מהותיות בגרסתה
133911," כאמור לעיל, מקובלת עלי גרסתה של המתלוננת כי לא הסכימה כלל לנסוע עם הנאשם ולעזוב את אולם גוטניק ללא אחותה וללא מוראד, וכי הנאשם נעל עליה את דלתות הרכב, ואף מנע ממנה מלשוחח עם אלה שהתקשרו אליה, כשברצונה להודיע איפה נמצאת ומה מצבה",לא רלוונטי,קביעת ממצאים עובדתיים מרשיעים על בסיס אימוץ גרסת המתלוננת ודחיית הנאשם
151403, אף עדותה של המתלוננת בדבר התנסותה בעבר במין אנאלי אינה עקבית,"לא אמינה כי לא עקבית, הציגה סתירות",דחיית עדות המתלוננת עקב חוסר עקביות וסתירות מהותיות בגרסתה
