sentence_id,origin_sentence,category,new_category,invokes_myth,myth_polarity,myth_trigger,myth_reason,myth_raw
61202,"וביתר פירוט:  ל, התשט""ו – 1955 קובע כי אמנם עדותה של המתלוננת בפני חוקרת הילדים כשרה להתקבל כראיה, אלא  לחוק זה קובע כי:",לא רלוונטי,לא רלוונטי,False,לא_רלוונטי,,"הטקסט עוסק בקבילות עדותה של קטינה באמצעות חוקרת ילדים ואינו דן במניע להעללה, נקמה או תלונת שווא.","{
  ""invokes_myth"": false,
  ""polarity"": ""לא_רלוונטי"",
  ""trigger"": null,
  ""reason"": ""הטקסט עוסק בקבילות עדותה של קטינה באמצעות חוקרת ילדים ואינו דן במניע להעללה, נקמה או תלונת שווא.""
}"
61219," כך, מקום שמהימנות עדותו של המתלונן גבוהה היא ניתן להסתפק בראיית סיוע בעלת משקל לא רב ולהיפך ( מדינת ישראל נ' פלוני, פ""ד מז (1) 292, 302)","עוסק בעמדת הצדדים בנוגע להערכת המהימנות ולא עמדת השופט, הלכות כלליות בנוגע להערכת מהימנות, לא נוגע להערכה מהימנות כלל",לא רלוונטי,False,לא_רלוונטי,,"השופט דן בכלל משפטי כללי הנוגע למשקל הראיות והסיוע הנדרש לעדות, ללא כל התייחסות למניע להעללה או לנקמנות.","{
  ""invokes_myth"": false,
  ""polarity"": ""לא_רלוונטי"",
  ""trigger"": null,
  ""reason"": ""השופט דן בכלל משפטי כללי הנוגע למשקל הראיות והסיוע הנדרש לעדות, ללא כל התייחסות למניע להעללה או לנקמנות.""
}"
53595,"תיאורה של המתלוננת את רגע הסיום של אירוע הליבה והפסקת החדירה לתוכה, מעניין ממספר היבטים",לא רלוונטי,לא רלוונטי,False,לא_רלוונטי,,"המשפט מתייחס לתיאור סיום האירוע כמעניין, ללא כל אזכור של מניע להעללה, נקמה או חשש לתלונת שווא.","```json
{
  ""invokes_myth"": false,
  ""polarity"": ""לא_רלוונטי"",
  ""trigger"": null,
  ""reason"": ""המשפט מתייחס לתיאור סיום האירוע כמעניין, ללא כל אזכור של מניע להעללה, נקמה או חשש לתלונת שווא.""
}
```"
61323," כן אמרנו כי מקום שמהימנות עדותו של המתלונן גבוהה היא ניתן להסתפק בראיית סיוע בעלת משקל לא רב (פרשת פלוני, לעיל)","עוסק בעמדת הצדדים בנוגע להערכת המהימנות ולא עמדת השופט, הלכות כלליות בנוגע להערכת מהימנות, לא נוגע להערכה מהימנות כלל",לא רלוונטי,False,לא_רלוונטי,,"השופט דן בכלל משפטי הנוגע למשקל ראיית הסיוע הנדרשת כאשר מהימנות המתלונן גבוהה, ללא כל התייחסות למניע להעללה או נקמנות.","{
  ""invokes_myth"": false,
  ""polarity"": ""לא_רלוונטי"",
  ""trigger"": null,
  ""reason"": ""השופט דן בכלל משפטי הנוגע למשקל ראיית הסיוע הנדרשת כאשר מהימנות המתלונן גבוהה, ללא כל התייחסות למניע להעללה או נקמנות.""
}"
48229,"לטענתו, גירסתה של המתלוננת שהעידה כי נכנסה לחדר שבו היה נוכח בכדי לנטרל את האזעקה, אינה הגיונית משום שמערכת האזעקה חולשת על כל המתחם ולכן לא יכול להיות מצב שימצא מישהו בחדר מבלי שהאזעקה תפעל","עוסק בעמדת הצדדים בנוגע להערכת המהימנות ולא עמדת השופט, הלכות כלליות בנוגע להערכת מהימנות, לא נוגע להערכה מהימנות כלל",לא רלוונטי,False,לא_רלוונטי,,"המשפט מתאר טענה של הנאשם לגבי חוסר סבירות טכנית בגרסת המתלוננת (עניין האזעקה), ללא כל אזכור למניע שקרי, נקמנות או מיתוס האישה המעלילה.","{
  ""invokes_myth"": false,
  ""polarity"": ""לא_רלוונטי"",
  ""trigger"": null,
  ""reason"": ""המשפט מתאר טענה של הנאשם לגבי חוסר סבירות טכנית בגרסת המתלוננת (עניין האזעקה), ללא כל אזכור למניע שקרי, נקמנות או מיתוס האישה המעלילה.""
}"
54677," לעמדתי, גירסתה של המתלוננת קוהרנטית, עקבית, הגיונית ומשכנעת","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה","קבלת עדות המתלוננת במלואה לאור רושם חיובי, כנות ומהימנות גבוהה",False,לא_רלוונטי,,"השופט קובע כי עדות המתלוננת מהימנה על בסיס קוהרנטיות ועקביות, ללא התייחסות למניע להעללה או נקמנות.","```json
{
  ""invokes_myth"": false,
  ""polarity"": ""לא_רלוונטי"",
  ""trigger"": null,
  ""reason"": ""השופט קובע כי עדות המתלוננת מהימנה על בסיס קוהרנטיות ועקביות, ללא התייחסות למניע להעללה או נקמנות.""
}
```"
7961," גירסתה של המתלוננת, בעיקרה, בכל הקשור לאירוע אשר התרחש בצומת קסטינה, מקובלת עלי","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה","קבלת עדות המתלוננת במלואה לאור רושם חיובי, כנות ומהימנות גבוהה",False,לא_רלוונטי,,"השופט מקבל את גרסת המתלוננת לגבי האירוע ללא כל התייחסות למניעי נקמה, העללה או תלונת שווא.","{
  ""invokes_myth"": false,
  ""polarity"": ""לא_רלוונטי"",
  ""trigger"": null,
  ""reason"": ""השופט מקבל את גרסת המתלוננת לגבי האירוע ללא כל התייחסות למניעי נקמה, העללה או תלונת שווא.""
}"
25524," לכך מתווסף החשש כי עדותה הראשונית של המתלוננת אינה נקייה מזיהומים שונים זאת ניתן ללמוד מכך שהמתלוננת נמצאה על ידי אחותה בביתו של הנאשם, וככל הנראה עקב צעקותיה של אחותה, למדה המתלוננת מיד כי מה שארע הינו פסול ואסור ובעקבות הצעקות של אחותה על הנאשם בחרה לספר כי הנאשם הוא זה שפגע בה","לא אמינה כי נתפסת כנקמנית, חשש להעללה או האשמת שווא",דחיית עדות המתלוננת עקב חוסר עקביות וסתירות מהותיות בגרסתה,True,אומץ,ובעקבות הצעקות של אחותה על הנאשם בחרה לספר כי הנאשם הוא זה שפגע בה,השופט מאמץ את החשש שהמתלוננת בדתה או הטילה את האשמה על הנאשם כתוצאה מלחץ והשפעה של אחותה.,"```json
{
  ""invokes_myth"": true,
  ""polarity"": ""אומץ"",
  ""trigger"": ""ובעקבות הצעקות של אחותה על הנאשם בחרה לספר כי הנאשם הוא זה שפגע בה"",
  ""reason"": ""השופט מאמץ את החשש שהמתלוננת בדתה או הטילה את האשמה על הנאשם כתוצאה מלחץ והשפעה של אחותה.""
}
```"
87269," אפתח ואומר, כי גרסתה של המתלוננת עצמה אינה עקבית ומאופיינת בסתירות מהותיות ובחללים פנימיים, שבאו לידי ביטוי, במיוחד, בתיאורה את התנהגותה והתנהגות הנאשם, ובדינמיקה שהיתה ביניהם במהלך אותו לילה, מהן ניתן ללמוד על קרבה אינטימית ביניהם, על משיכה מינית מצדה ועל הסכמתה לקיום היחסים","לא אמינה כי לא עקבית, הציגה סתירות",דחיית עדות המתלוננת עקב חוסר עקביות וסתירות מהותיות בגרסתה,False,לא_רלוונטי,,"השופט מנתח את חוסר העקביות בעדות ואת שאלת ההסכמה לקיום היחסים, ללא אזכור של מניע להעליל או התייחסות לחשש מתלונת שווא.","```json
{
  ""invokes_myth"": false,
  ""polarity"": ""לא_רלוונטי"",
  ""trigger"": null,
  ""reason"": ""השופט מנתח את חוסר העקביות בעדות ואת שאלת ההסכמה לקיום היחסים, ללא אזכור של מניע להעליל או התייחסות לחשש מתלונת שווא.""
}
```"
70350,עדותה של המתלוננת מהימנה ויש להעדיף אותה על פני עדותו של הנאשם,אמינה בגלל שהנאשם לא אמין,העדפת עדותה המהימנה של המתלוננת ודחיית גרסת הנאשם עקב חוסר אמינותו,False,לא_רלוונטי,,"השופט קובע כי עדות המתלוננת מהימנה ללא התייחסות למניע להעללה, נקמה או תלונת שווא.","{
  ""invokes_myth"": false,
  ""polarity"": ""לא_רלוונטי"",
  ""trigger"": null,
  ""reason"": ""השופט קובע כי עדות המתלוננת מהימנה ללא התייחסות למניע להעללה, נקמה או תלונת שווא.""
}"
